Throttle to 25% (target = step 32 of 126)
Formula: delay = 50 + 250 × (e^(progress×k) - 1) / (e^k - 1)

   Time     k=0.1     k=0.5     k=1.0     k=2.0     k=5.0    LINEAR
 8650ms        32        32        32        32        32        28
 8700ms        32        32        32        32        32        29
 8750ms        32        32        32        32        32        29
 8800ms        32        32        32        32        32        29
 8850ms        32        32        32        32        32        29
 8900ms        32        32        32        32        32        29
 8950ms        32        32        32        32        32        29
 9000ms        32        32        32        32        32        30
 9050ms        32        32        32        32        32        30
 9100ms        32        32        32        32        32        30
 9150ms        32        32        32        32        32        30
 9200ms        32        32        32        32        32        30
 9250ms        32        32        32        32        32        30
 9300ms        32        32        32        32        32        31
 9350ms        32        32        32        32        32        31
 9400ms        32        32        32        32        32        31
 9450ms        32        32        32        32        32        31
 9500ms        32        32        32        32        32        31
 9550ms        32        32        32        32        32        31
 9600ms        32        32        32        32        32        32

  TOTAL      5.4s      5.1s      4.8s      4.2s      3.0s      9.6s
